2	5	4	1	0	0:02:05	121	20	19 (+2)
3	24	18	5	0	0:04:10	134	30	21 (+2)
4	64	49	16	0	0:05:15	152	40	24 (+3)
5	129	104	38	0	0:05:20	175	50	26 (+2)
6	228	190	74	0	0:06:00	206	60	30 (+4)
7	304	260	107	0	0:29:12	245	70	33 (+3)
8	391	341	147	0	0:53:23	291	80	37 (+4)
9	487	433	195	0	1:50:06	341	90	42 (+5)
10	593	536	251	0	3:20:10	399	100	47 (+5)
11	709	650	316	0	4:36:47	458	110	52 (+5)
12	834	776	389	0	5:36:06	520	120	58 (+6)
13	969	913	471	0	6:35:24	584	130	65 (+7)
14	1113	1061	563	0	7:24:50	651	140	73 (+8)
15	1266	1220	665	0	8:14:15	720	150	82 (+9)
16	1428	1391	776	0	9:11:35	790	160	92 (+10)
17	1600	1573	898	0	10:11:27	863	170	103 (+11)
18	1780	1767	1030	0	11:13:52	938	180	115 (+12)
19	1970	1972	1172	0	12:18:44	1015	190	129 (+14)
20	2168	2188	1326	0	13:26:02	1094	200	145 (+16)
21	2375	2416	1490	0	14:35:44	1174	210	162 (+17)
22	2591	2655	1667	0	15:47:49	1257	220	182 (+20)
23	2815	2906	1854	0	17:02:12	1341	230	203 (+21)
24	3048	3168	2054	0	18:18:55	1426	240	228 (+25)
25	3290	3442	2265	0	19:37:53	1514	250	255 (+27)
26	3541	3727	2488	0	20:59:06	1602	250	286 (+31)
27	3800	4024	2724	0	22:22:31	1693	250	320 (+34)
28	4067	4332	2973	0	23:48:09	1785	250	358 (+38)
29	4343	4652	3234	0	25:15:56	1878	250	401 (+43)
30	4627	4983	3508	0	26:45:53	1973	250	449 (+48)
31	4920	5326	3795	0	28:17:56	2070	250	503 (+54)
32	5221	5681	4096	0	29:52:06	2168	250	564 (+61)
33	5530	6047	4410	0	31:28:21	2267	250	631 (+67)
34	5847	6425	4738	0	33:06:38	2368	250	707 (+76)
35	6173	6814	5079	0	34:46:59	2470	250	792 (+85)
36	6507	7215	5434	0	36:29:22	2573	250	887 (+95)
37	6849	7628	5803	0	38:13:46	2678	250	993 (+106)
38	7199	8052	6187	0	40:00:08	2784	250	1113 (+120)
39	7558	8489	6585	0	41:48:31	2891	250	1246 (+133)
40	7924	8936	6998	0	43:48:50	3000	250	1396 (+150)
41	8298	9396	7425	0	45:31:06	3109	250	1562 (+167)
42	8681	9867	7867	0	47:25:19	3220	250	1750 (+188)
43	9071	10349	8324	0	49:21:26	3332	250	1960 (+210)
44	9470	10844	8796	0	51:19:28	3446	250	2195 (+235)
45	9876	11350	9283	0	53:19:23	3561	250	2459 (+264)
